
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:34:45.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
  11.20   15.607   15.657   15.703    1.250    1.198    0.607    1.250    1.198    0.728    0.759    1.497    1.683    0.915
  11.30   15.432   15.633   15.706    2.500    1.511    0.432    2.500    1.511    0.652    1.079    3.778    4.361    1.992
  11.40   15.949   16.152   16.154    2.547    0.303    0.949    2.547    0.303    0.288    2.418    0.771    3.740    1.277
  11.50   16.106   16.211   16.211    1.843    0.055    1.106    1.843    0.055    0.061    2.038    0.101    2.311    1.021
  11.60   16.870   17.069   17.080    2.601   -0.613    1.870    2.601   -0.613   -1.147    4.863   -1.595    5.318    2.622
  11.70   16.156   16.207   16.224    1.284    0.748    1.156    1.284    0.748    0.865    1.485    0.961    1.773    0.984
  11.80   17.294   17.323   17.365    1.004    1.215    2.294    1.004    1.215    2.787    2.304    1.220    3.873    1.908
  11.90   16.496   16.505   16.525    0.532    0.806    1.496    0.532    0.806    1.207    0.796    0.429    1.586    0.754
  12.00   17.021   17.021   17.069   -0.015    1.280    2.021   -0.015    1.280    2.586   -0.030   -0.019    2.861    1.293
  12.10   17.344   17.353   17.361    0.583    0.507    2.344    0.583    0.507    1.188    1.366    0.295    3.044    0.917
  12.20   18.047   18.067   18.067   -0.843    0.028    3.047   -0.843    0.028    0.084   -2.570   -0.023    4.998    1.286
  12.30   16.956   16.961   16.962   -0.401   -0.174    1.956   -0.401   -0.174   -0.341   -0.784    0.070    2.009    0.429
  12.40   17.362   17.371   17.418    0.570   -1.281    2.362    0.570   -1.281   -3.025    1.347   -0.731    3.772    1.695
  12.50   17.912   17.914   17.938    0.231   -0.937    2.912    0.231   -0.937   -2.728    0.674   -0.217    4.706    1.409
  12.60   16.945   17.087   17.133    2.195   -1.260    1.945    2.195   -1.260   -2.451    4.270   -2.765    5.095    2.823
  12.70   16.990   17.152   17.215    2.354   -1.473    1.990    2.354   -1.473   -2.930    4.684   -3.466    5.835    3.261
  12.80   17.075   17.241   17.382    2.387   -2.214    2.075    2.387   -2.214   -4.594    4.952   -5.285    7.452    4.288
  12.90   16.721   16.859   16.933    2.157   -1.581    1.721    2.157   -1.581   -2.720    3.712   -3.411    5.057    2.864
  13.00   17.031   17.303   17.395    3.055   -1.789    2.031    3.055   -1.789   -3.635    6.205   -5.466    8.330    4.516
  13.10   16.707   16.747   16.923    1.160   -2.433    1.707    1.160   -2.433   -4.153    1.980   -2.822    5.089    2.699
  13.20   16.188   16.249   16.433    1.410   -2.454    1.188    1.410   -2.454   -2.914    1.675   -3.461    4.710    2.412
  13.30   16.079   16.095   16.194    0.726   -1.789    1.079    0.726   -1.789   -1.930    0.783   -1.298    2.446    1.227
  13.40   15.795   15.805   15.827   -0.551   -0.844    0.795   -0.551   -0.844   -0.671   -0.438    0.465    0.824    0.463
  13.50   15.325   15.326   15.345   -0.182   -0.769    0.325   -0.182   -0.769   -0.250   -0.059    0.140    0.365    0.146
  13.60   14.750   14.769   14.799    0.732   -0.948   -0.250    0.732   -0.948    0.236   -0.183   -0.693    0.748    0.378
  13.70   15.583   15.587   15.651   -0.354   -1.416    0.583   -0.354   -1.416   -0.825   -0.206    0.502    1.235    0.494
  13.80   16.280   16.282   16.355    0.232   -1.545    1.280    0.232   -1.545   -1.977    0.297   -0.358    2.039    1.016
  13.90   16.465   16.469   16.583   -0.364   -1.937    1.465   -0.364   -1.937   -2.838   -0.534    0.705    3.015    1.486
  14.00   15.551   15.554   15.718    0.294   -2.265    0.551    0.294   -2.265   -1.248    0.162   -0.666    2.759    0.712
  14.10   15.800   15.800   15.963    0.074   -2.278    0.800    0.074   -2.278   -1.822    0.059   -0.168    2.918    0.915
  14.20   15.623   15.637   15.765    0.647   -2.006    0.623    0.647   -2.006   -1.250    0.403   -1.298    2.415    0.923
  14.30   16.025   16.030   16.110   -0.382   -1.610    1.025   -0.382   -1.610   -1.651   -0.391    0.615    1.895    0.902
  14.40   16.394   16.408   16.467   -0.680   -1.393    1.394   -0.680   -1.393   -1.942   -0.948    0.947    2.173    1.180
  14.50   16.147   16.147   16.246    0.006   -1.789    1.147    0.006   -1.789   -2.051    0.007   -0.011    2.257    1.026
